Filename,Version,FileVersion,InfoVersion
Antlr3.Runtime.dll,3.4.1.9004,3.4.1.9004,3.4.1.9004
ChilkatDotNet47.dll,9.5.0.73,9.5.0.73,9.5.0.73
CommonServiceLocator.dll,2.0.3.0,2.0.3.0,2.0.3
CommonServiceLocator.SolrNet.dll,1.0.19.0,1.0.19.0,1.0.19
ComponentArt.Web.UI.dll,2010.1.2637.35,2010.1.2637.35,2010.1.2637.35
DocumentFormat.OpenXml.dll,2.7.2.0,2.7.2.0,2.7.2
EcmaScript.NET.dll,1.0.1.0,1.0.1.0,1.0.1.0
FiftyOne.Foundation.dll,3.2.17.2,3.2.17.2,3.2.17.2
HtmlAgilityPack.dll,1.4.9.5,1.4.9.5,1.4.9.5
ICSharpCode.SharpZipLib.dll,1.3.2.10,1.3.2.10,1.3.2+34879bef2b28c2b0fa991da64da83057a0b806b7
IdentityModel.dll,3.7.0.0,3.7.0.0,3.7.0
MarkdownSharp.dll,1.14.5.0,1.14.5.0,1.14.5.0
Microsoft.AspNet.Identity.Core.dll,2.0.0.0,2.2.1.40403.0,2.2.1.40403.0
Microsoft.AspNet.Identity.Owin.dll,2.0.0.0,2.2.1.40403.0,2.2.1.40403.0
Microsoft.AspNet.OData.dll,7.0.0.20629,7.0.0.20629,7.0.0.20629
Microsoft.AspNet.SessionState.SessionStateModule.dll,1.1.0.0,1.1.20502.0,1.1.0-20502
Microsoft.AspNet.WebApi.Extensions.Compression.Server.dll,2.0.0.0,2.0.3,2.0.3
Microsoft.AspNetCore.Hosting.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Hosting.Server.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Http.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Http.Features.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Azure.Amqp.dll,2.4.0.0,2.2.0.0,2.4.2
Microsoft.Azure.ServiceBus.dll,4.1.2.0,4.100.220.15305,4.1.2+7793c0ed902c9e57b3e78a00af2332d200f11756
Microsoft.Azure.Services.AppAuthentication.dll,1.3.1.0,1.3.1.0,1.3.1
Microsoft.Bcl.AsyncInterfaces.dll,1.0.0.0,4.700.20.21406,3.1.4+c4164928b270ee2369808ab347d33423ef765216
Microsoft.Configuration.ConfigurationBuilders.Base.dll,1.0.0.0,1.0.30709.0,1.0.2-30709
Microsoft.Configuration.ConfigurationBuilders.Environment.dll,1.0.0.0,1.0.30709.0,1.0.2-30709
Microsoft.Extensions.Caching.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Caching.Memory.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Binder.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.CommandLine.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.EnvironmentVariables.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.FileExtensions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Ini.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Json.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Xml.dll,2.2.0.0,2.2.0.18315,2.2.0-rtm-181110-01+pb-20181110-02
Microsoft.Extensions.DependencyInjection.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.DependencyInjection.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.DependencyModel.dll,3.1.5.0,3.100.520.27005,3.1.5+65cd7897774a464b5991c1962f7a0d476bb63101
Microsoft.Extensions.Diagnostics.HealthChecks.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.FileProviders.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.FileProviders.Physical.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.FileSystemGlobbing.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Hosting.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Logging.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Logging.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Options.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Primitives.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.IdentityModel.Clients.ActiveDirectory.dll,4.5.0.0,4.5.0.0,4.5.0
Microsoft.IdentityModel.JsonWebTokens.dll,5.4.0.0,5.4.0.60123,5.4.0.60123010533.1300b19eae77801a05906bc061fe52e158b513e8
Microsoft.IdentityModel.Logging.dll,5.4.0.0,5.4.0.60123,5.4.0.60123010533.1300b19eae77801a05906bc061fe52e158b513e8
Microsoft.IdentityModel.Protocols.dll,5.3.0.0,5.3.0.51005,5.3.0.51005192532.4cbe149003954f9ca8df2cac3845e35d8ee5f386
Microsoft.IdentityModel.Protocols.OpenIdConnect.dll,5.3.0.0,5.3.0.51005,5.3.0.51005192532.4cbe149003954f9ca8df2cac3845e35d8ee5f386
Microsoft.IdentityModel.Protocols.WsFederation.dll,5.3.0.0,5.3.0.51005,5.3.0.51005192532.4cbe149003954f9ca8df2cac3845e35d8ee5f386
Microsoft.IdentityModel.Tokens.dll,5.4.0.0,5.4.0.60123,5.4.0.60123010533.1300b19eae77801a05906bc061fe52e158b513e8
Microsoft.IdentityModel.Tokens.Saml.dll,5.3.0.0,5.3.0.51005,5.3.0.51005192532.4cbe149003954f9ca8df2cac3845e35d8ee5f386
Microsoft.IdentityModel.Xml.dll,5.3.0.0,5.3.0.51005,5.3.0.51005192532.4cbe149003954f9ca8df2cac3845e35d8ee5f386
Microsoft.OData.Core.dll,7.5.0.20627,7.5.0.20627,7.5.0.20627
Microsoft.OData.Edm.dll,7.5.0.20627,7.5.0.20627,7.5.0.20627
Microsoft.Owin.dll,4.1.1.0,4.1.90908.136,4.1.1
Microsoft.Owin.Host.SystemWeb.dll,4.1.0.0,4.1.81112.127,4.1.0
Microsoft.Owin.Security.ActiveDirectory.dll,4.1.0.0,4.1.81112.127,4.1.0
Microsoft.Owin.Security.Cookies.dll,4.1.0.0,4.1.81112.127,4.1.0
Microsoft.Owin.Security.dll,4.1.0.0,4.1.81112.127,4.1.0
Microsoft.Owin.Security.Jwt.dll,4.1.0.0,4.1.81112.127,4.1.0
Microsoft.Owin.Security.OAuth.dll,4.1.0.0,4.1.81112.127,4.1.0
Microsoft.Owin.Security.OpenIdConnect.dll,4.1.0.0,4.1.81112.127,4.1.0
Microsoft.Practices.EnterpriseLibrary.Common.dll,6.0.0.0,6.0.1304.0,6.0.1304.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.Caching.dll,6.0.0.0,6.0.1304.0,6.0.1304.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.Configuration.dll,6.0.0.0,6.0.1304.0,6.0.1304.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.Data.dll,6.0.0.0,6.0.1304.1,6.0.1304.1
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.dll,6.0.0.0,6.0.1304.0,6.0.1304.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.ServiceBus.dll,6.0.0.0,6.0.1304.0,6.0.1304.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.WindowsAzure.Storage.dll,6.0.0.0,6.0.1304.0,6.0.1304.0
Microsoft.Spatial.dll,7.5.0.20627,7.5.0.20627,7.5.0.20627
Microsoft.Web.Infrastructure.dll,1.0.0.0,1.0.20105.407,1.0.20105.407
Mvp.Xml.dll,2.3.0.0,2.3.0.0,2.3.0.0
Newtonsoft.Json.dll,13.0.0.0,13.0.1.25517,13.0.1+ae9fe44e1323e91bcbd185ca1a14099fba7c021f
Owin.dll,1.0.0.0,1,1
PdfSharp.Charting.dll,1.50.4740.0,1.50.4740.0,1.50.4740.0
PdfSharp.Charting.resources.dll,1.50.4740.0,1.50.4740.0,1.50.4740.0
PdfSharp.dll,1.50.4740.0,1.50.4740.0,1.50.4740.0
PdfSharp.resources.dll,1.50.4740.0,1.50.4740.0,1.50.4740.0
Pipelines.Sockets.Unofficial.dll,1.0.0.0,2.1.16.58714,2.1.16+5ae5fe451c
Polly.dll,6.0.0.0,6.1.2.0,6.1.2.0
protobuf-net.dll,2.0.0.668,2.0.0.668,2.0.0.668
RazorGenerator.Mvc.dll,2.0.0.0,2.0.0.0,2.4.9
Rebus.AzureServiceBus.dll,7.1.3.0,7.1.3.0,7.1.3.0
Rebus.dll,6.2.1.0,6.2.1.0,6.2.1+234a785d1bd65050e38f7bebbfc1931c30f4f5a1
Rebus.SqlServer.dll,6.1.2.0,6.1.2.0,6.1.2.0
Remotion.Linq.dll,2.2.0.0,2.2.0.30000,2.2.0+Release.Commit-9be8fec0618f02a0e66edb058c390c8fa40d92a7
Sitecore.Analytics.DataAccess.dll,17.0.0.0,17.0.0.0,17.0.0-r00417.8475
Sitecore.Analytics.dll,17.0.0.0,17.0.0.0,17.0.0-r00417.8475
Sitecore.Analytics.Model.dll,17.0.0.0,17.0.0.0,17.0.0-r00532.5540
Sitecore.Analytics.OmniChannel.dll,17.0.0.0,17.0.0.0,17.0.0-r00417.8475
Sitecore.Analytics.RobotDetection.dll,17.0.0.0,17.0.0.0,17.0.0-r00417.8475
Sitecore.Analytics.XConnect.dll,17.0.0.0,17.0.0.0,17.0.0-r00417.8475
Sitecore.Annotations.dll,1.0.0.0,1.0.0.0,1.0.0-r00023
Sitecore.Async.Extensions.Legacy.dll,4.1.0.0,4.1.0.0,4.1.0-r00266.2379
Sitecore.CES.DeviceDetection.dll,8.0.0.0,8.0.0.0,8.0.0-r00161.2681
Sitecore.CES.DeviceDetection.Rules.dll,8.0.0.0,8.0.0.0,8.0.0-r00161.2681
Sitecore.CES.dll,8.0.0.0,8.0.0.0,8.0.0-r00111.2071
Sitecore.CES.GeoIp.Core.dll,8.0.0.0,8.0.0.0,8.0.0-r00218.2475
Sitecore.CES.GeoIp.dll,8.0.0.0,8.0.0.0,8.0.0-r00218.2475
Sitecore.CES.GeoIp.IpFiltering.dll,6.1.0.0,6.1.0.0,6.1.0-r00042.1369
Sitecore.Cintel.Client.dll,9.0.0.0,9.0.0.0,9.0.0-r00323.4053
Sitecore.Cintel.dll,9.0.0.0,9.0.0.0,9.0.0-r00323.4053
Sitecore.Client.LicenseOptions.dll,8.0.0.0,8.0.0.0,8.0.0-r00106.1701
Sitecore.Cloud.Nexus.dll,4.0.0.0,4.0.0.00008,4.0.0-r00008
Sitecore.Content.Services.dll,8.0.0.0,8.0.0.0,8.0.0-r00642.4384
Sitecore.ContentTagging.Core.dll,6.0.0.0,6.0.0.0,6.0.0-r00156.2754
Sitecore.ContentTagging.dll,6.0.0.0,6.0.0.0,6.0.0-r00156.2754
Sitecore.ContentTagging.OpenCalais.dll,6.0.0.0,6.0.0.0,6.0.0-r00156.2754
Sitecore.ControlPanel.dll,8.0.0.0,8.0.0.0,8.0.0-r00106.1701
Sitecore.ExperienceContentManagement.Administration.dll,8.0.0.0,8.0.0.0,8.0.0-r00304.2314
Sitecore.Framework.Common.Abstractions.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Common.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Common.WildcardMatch.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Conditions.dll,5.0.0.0,5.0.0.0,5.0.0
Sitecore.Framework.Configuration.Abstractions.dll,6.0.0.0,6.0.1.0,6.0.1
Sitecore.Framework.Configuration.Common.dll,6.0.0.0,6.0.1.0,6.0.1
Sitecore.Framework.Configuration.dll,6.0.0.0,6.0.1.0,6.0.1
Sitecore.Framework.Configuration.Extensions.dll,6.0.0.0,6.0.1.0,6.0.1
Sitecore.Framework.Configuration.Xml.dll,6.0.0.0,6.0.1.0,6.0.1
Sitecore.Framework.Data.Blobs.Abstractions.dll,2.0.0.0,2.0.0.0,2.0.0
Sitecore.Framework.Data.Blobs.dll,2.0.0.0,2.0.0.0,2.0.0
Sitecore.Framework.Messaging.Abstractions.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Messaging.Configuration.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Messaging.Rebus.Azure.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Messaging.Rebus.Configuration.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Messaging.Rebus.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Messaging.Rebus.SqlServer.dll,5.0.0.0,5.0.1.0,5.0.1
Sitecore.Framework.Rules.Abstractions.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.Rules.Api.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.Rules.Core.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.Rules.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.Rules.Model.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.Rules.Registry.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.Rules.Serialization.dll,5.1.0.0,5.1.3.0,5.1.3
Sitecore.Framework.TransientFaultHandling.Abstractions.dll,3.0.0.0,3.0.3.0,3.0.3
Sitecore.Framework.TransientFaultHandling.dll,3.0.0.0,3.0.3.0,3.0.3
Sitecore.Framework.TransientFaultHandling.EntLib.dll,3.0.0.0,3.0.3.0,3.0.3
Sitecore.Framework.TransientFaultHandling.Sql.dll,3.0.0.0,3.0.3.0,3.0.3
Sitecore.FXM.Client.dll,10.0.0.0,10.0.0.0,10.0.0-r02134.6486
Sitecore.FXM.dll,10.0.0.0,10.0.0.0,10.0.0-r02134.6486
Sitecore.FXM.Service.dll,10.0.0.0,10.0.0.0,10.0.0-r02134.6486
Sitecore.FXM.Speak.dll,10.0.0.0,10.0.0.0,10.0.0-r02134.6486
Sitecore.ItemWebApi.dll,8.0.0.0,8.0.0.0,8.0.0-r00053.1934
Sitecore.LaunchPad.dll,8.0.0.0,8.0.0.0,8.0.0-r00076.1563
Sitecore.ListManagement.Client.dll,8.0.0.0,8.0.0.0,8.0.0-r02048.7198
Sitecore.ListManagement.dll,8.0.0.0,8.0.0.0,8.0.0-r02048.7198
Sitecore.ListManagement.Services.dll,8.0.0.0,8.0.0.0,8.0.0-r02048.7198
Sitecore.ListManagement.XConnect.dll,8.0.0.0,8.0.0.0,8.0.0-r02048.7198
Sitecore.ListManagement.XConnect.Web.dll,8.0.0.0,8.0.0.0,8.0.0-r02048.7198
Sitecore.Logging.Client.dll,14.1.0.0,14.1.0.0,14.1.0-r00050.3099
Sitecore.Logging.dll,14.1.0.0,14.1.0.0,14.1.0-r00050.3099
Sitecore.Marketing.Automation.Activity.dll,8.0.0.0,8.0.0.0,8.0.0-r00798.1771
Sitecore.Marketing.Automation.ActivityDescriptors.Client.dll,8.0.0.0,8.0.0.0,8.0.0-r00899.10380
Sitecore.Marketing.Automation.ActivityDescriptors.dll,8.0.0.0,8.0.0.0,8.0.0-r00899.10380
Sitecore.Marketing.Automation.Client.dll,8.0.0.0,8.0.0.0,8.0.0-r00899.10380
Sitecore.Marketing.Automation.dll,8.0.0.0,8.0.0.0,8.0.0-r00899.10380
